Rk,Player,CleanPlayer,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Goalsper90,Assistper90,G+A,G-PKper90,G+A-PK,xG,npxG,xA,npxG+xA,xGoalsper90,xAssistper90,xG+xA,npxGper90,npxG+xAper90,TransferMarketvalue
357,Matt Phillips,Matt Phillips,sco SCO,MFDF,West Brom,30-013,1991,24,13,1118,12.4,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,1.5,1.5,1.6,3.1,0.12,0.13,0.25,0.12,0.25,
385,Callum Robinson,Callum Robinson,ie IRL,FWMF,West Brom,26-052,1995,21,15,1184,13.2,2,0,2,0,0,0,0,0.15,0,0.15,0.15,0.15,1.7,1.7,0.6,2.3,0.13,0.04,0.17,0.13,0.17,
387,Hal Robson-Kanu,Hal Robson Kanu,wal WAL,FWMF,West Brom,31-309,1989,13,0,281,3.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.04,0.06,0.1,0.04,0.1,
408,Romaine Sawyers,Romaine Sawyers,kn SKN,MF,West Brom,29-144,1991,19,17,1487,16.5,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.01,0.02,0.03,0.01,0.03,
428,Robert Snodgrass,Robert Snodgrass,sco SCO,MFFW,West Brom,33-200,1987,8,6,526,5.8,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.03,0.06,0.09,0.03,0.09,
459,Conor Townsend,Conor Townsend,eng ENG,DF,West Brom,28-022,1993,16,16,1424,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,1.1,1.5,0.02,0.07,0.1,0.02,0.1,
504,Okay Yokuşlu,Okay Yokuslu,tr TUR,MF,West Brom,27-017,1994,7,6,529,5.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.5,0.02,0.05,0.08,0.02,0.08,
27,Felipe Anderson,Felipe Anderson,br BRA,FWMF,West Ham,27-345,1993,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,Michail Antonio,Michail Antonio,eng ENG,FW,West Ham,30-363,1990,20,18,1511,16.8,7,5,7,0,0,3,0,0.42,0.3,0.71,0.42,0.71,9.2,9.2,2,11.2,0.55,0.12,0.67,0.55,0.67,
39,Fabián Balbuena,Fabian Balbuena,py PAR,DF,West Ham,29-215,1991,12,12,1080,12,1,0,1,0,0,1,0,0.08,0,0.08,0.08,0.08,0.6,0.6,0,0.6,0.05,0,0.05,0.05,0.05,
54,Saïd Benrahma,Said Benrahma,dz ALG,MFFW,West Ham,25-228,1995,21,11,1064,11.8,0,4,0,0,0,0,0,0,0.34,0.34,0,0.34,1.7,1.7,2.8,4.5,0.14,0.24,0.38,0.14,0.38,
66,Jarrod Bowen,Jarrod Bowen,eng ENG,FWMF,West Ham,24-096,1996,29,25,2018,22.4,6,3,6,0,0,0,0,0.27,0.13,0.4,0.27,0.4,4.9,4.9,2.5,7.3,0.22,0.11,0.33,0.22,0.33,
102,Vladimír Coufal,Vladimir Coufal,cz CZE,DF,West Ham,28-216,1992,25,25,2244,24.9,0,3,0,0,0,3,0,0,0.12,0.12,0,0.12,1,1,3,4,0.04,0.12,0.16,0.04,0.16,
103,Aaron Cresswell,Aaron Cresswell,eng ENG,DF,West Ham,31-101,1989,29,29,2610,29,0,7,0,0,0,2,0,0,0.24,0.24,0,0.24,0.8,0.8,4.3,5.1,0.03,0.15,0.18,0.03,0.18,
112,Craig Dawson,Craig Dawson,eng ENG,DF,West Ham,30-324,1990,14,14,1260,14,3,0,3,0,0,0,0,0.21,0,0.21,0.21,0.21,1.5,1.5,0,1.5,0.1,0,0.11,0.1,0.11,
125,Issa Diop,Issa Diop,fr FRA,DF,West Ham,24-076,1997,10,9,838,9.3,1,0,1,0,0,2,0,0.11,0,0.11,0.11,0.11,0.2,0.2,0,0.2,0.02,0,0.02,0.02,0.02,
141,Łukasz Fabiański,Lukasz Fabianski,pl POL,GK,West Ham,35-342,1985,27,27,2430,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151,Pablo Fornals,Pablo Fornals,es ESP,FWMF,West Ham,25-032,1996,24,22,1799,20,2,3,2,0,0,3,0,0.1,0.15,0.25,0.1,0.25,4,4,1.9,5.9,0.2,0.1,0.3,0.2,0.3,
156,Ryan Fredericks,Ryan Fredericks,eng ENG,DFFW,West Ham,28-167,1992,11,5,454,5,1,1,1,0,0,2,0,0.2,0.2,0.4,0.2,0.4,0.2,0.2,1.2,1.4,0.04,0.24,0.28,0.04,0.28,
181,Sébastien Haller,Sebastien Haller,ci CIV,FW,West Ham,26-277,1994,16,10,937,10.4,3,0,3,0,0,0,0,0.29,0,0.29,0.29,0.29,2.9,2.9,1.2,4.1,0.28,0.12,0.4,0.28,0.4,
214,Ben Johnson,Ben Johnson,eng ENG,DF,West Ham,21-061,2000,10,4,393,4.4,1,0,1,0,0,1,0,0.23,0,0.23,0.23,0.23,0.3,0.3,0,0.3,0.08,0,0.08,0.08,0.08,
246,Manuel Lanzini,Manuel Lanzini,ar ARG,MFFW,West Ham,28-039,1993,13,3,408,4.5,1,1,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44,1.2,1.2,0.7,1.9,0.26,0.17,0.42,0.26,0.42,
255,Jesse Lingard,Jesse Lingard,eng ENG,MFFW,West Ham,28-101,1992,7,7,615,6.8,5,2,5,0,1,1,0,0.73,0.29,1.02,0.73,1.02,2.4,1.5,0.5,1.9,0.35,0.07,0.42,0.22,0.29,
287,Arthur Masuaku,Arthur Masuaku,cd COD,DF,West Ham,27-139,1993,10,10,850,9.4,0,1,0,0,0,1,0,0,0.11,0.11,0,0.11,0.3,0.3,1.6,1.9,0.03,0.17,0.2,0.03,0.2,
334,Mark Noble,Mark Noble,eng ENG,MF,West Ham,33-322,1987,16,4,392,4.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02,
340,Angelo Ogbonna,Angelo Ogbonna,it ITA,DF,West Ham,32-307,1988,23,23,2042,22.7,2,0,2,0,0,4,0,0.09,0,0.09,0.09,0.09,1,1,1,2,0.04,0.05,0.09,0.04,0.09,
370,Darren Randolph,Darren Randolph,ie IRL,GK,West Ham,33-318,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
377,Declan Rice,Declan Rice,eng ENG,MF,West Ham,22-071,1999,29,29,2610,29,1,1,0,1,1,2,0,0.03,0.03,0.07,0,0.03,2,1.3,2,3.3,0.07,0.07,0.14,0.04,0.11,
429,Robert Snodgrass,Robert Snodgrass,sco SCO,FWDF,West Ham,33-200,1987,3,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
431,Tomáš Souček,Tomas Soucek,cz CZE,MF,West Ham,26-027,1995,29,29,2609,29,9,0,9,0,0,4,1,0.31,0,0.31,0.31,0.31,7.2,7.2,1.1,8.3,0.25,0.04,0.29,0.25,0.29,
502,Andriy Yarmolenko,Andriy Yarmolenko,ua UKR,FWMF,West Ham,31-154,1989,14,1,357,4,0,1,0,0,0,3,0,0,0.25,0.25,0,0.25,0.4,0.4,1,1.4,0.11,0.24,0.35,0.11,0.35,
8,Rayan Aït Nouri,Rayan Ait Nouri,fr FRA,DF,Wolves,19-293,2001,13,8,702,7.8,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.3,0.3,0.7,1.1,0.04,0.09,0.14,0.04,0.14,
65,Willy Boly,Willy Boly,ci CIV,DF,Wolves,30-051,1991,17,17,1530,17,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,1,1,0.4,1.4,0.06,0.02,0.08,0.06,0.08,
75,Oskar Buur,Oskar Buur,dk DEN,DF,Wolves,22-360,1998,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,Jonny Castro,Jonny Castro,es ESP,DF,Wolves,27-023,1994,7,7,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.01,0.03,0.03,0.01,0.03,
96,Conor Coady,Conor Coady,eng ENG,DF,Wolves,28-029,1993,28,28,2493,27.7,1,0,1,0,0,4,0,0.04,0,0.04,0.04,0.04,1.2,1.2,0.1,1.3,0.04,0,0.05,0.04,0.05,
104,Patrick Cutrone,Patrick Cutrone,it ITA,FWMF,Wolves,23-082,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.61,0,0.61,0.61,0.61,
116,Leander Dendoncker,Leander Dendoncker,be BEL,MFDF,Wolves,25-345,1995,24,21,1879,20.9,0,0,0,0,0,3,0,0,0,0,0,0,2.8,2.8,0.7,3.5,0.13,0.03,0.17,0.13,0.17,
165,Morgan Gibbs-White,Morgan Gibbs White,eng ENG,FWMF,Wolves,21-058,2000,4,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.08,0.08,0,0.08,
194,Ki-Jana Hoever,Ki Jana Hoever,nl NED,DF,Wolves,19-067,2002,9,3,396,4.4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,
212,Raúl Jiménez,Raul Jimenez,mx MEX,FW,Wolves,29-325,1991,10,10,823,9.1,4,0,4,0,0,0,0,0.44,0,0.44,0.44,0.44,2.4,2.4,0.8,3.1,0.26,0.08,0.34,0.26,0.34,
218,Willian José,Willian Jose,br BRA,FW,Wolves,29-123,1991,9,8,659,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,0.09,0.04,0.12,0.09,0.12,
232,Max Kilman,Max Kilman,eng ENG,DF,Wolves,23-307,1997,15,12,1121,12.5,0,1,0,0,0,3,0,0,0.08,0.08,0,0.08,0.4,0.4,0.5,0.9,0.03,0.04,0.08,0.03,0.08,
281,Fernando Marçal,Fernando Marcal,br BRA,DF,Wolves,32-035,1989,12,7,615,6.8,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,
320,João Moutinho,Joao Moutinho,pt POR,MF,Wolves,34-199,1986,27,23,2030,22.6,1,1,1,0,0,5,1,0.04,0.04,0.09,0.04,0.09,0.5,0.5,2.1,2.6,0.02,0.09,0.11,0.02,0.11,
329,Pedro Neto,Pedro Neto,pt POR,FWMF,Wolves,21-017,2000,29,28,2429,27,5,5,5,0,0,4,0,0.19,0.19,0.37,0.19,0.37,3.9,3.9,5.6,9.5,0.14,0.21,0.35,0.14,0.35,
330,Rúben Neves,Ruben Neves,pt POR,MF,Wolves,24-013,1997,28,24,2079,23.1,5,1,2,3,3,6,0,0.22,0.04,0.26,0.09,0.13,4.8,2.5,1.6,4.1,0.21,0.07,0.27,0.11,0.18,
345,Owen Otasowie,Owen Otasowie,us USA,MF,Wolves,19-340,2001,5,1,117,1.3,0,1,0,0,0,1,0,0,0.77,0.77,0,0.77,0.4,0.4,0.1,0.6,0.33,0.11,0.44,0.33,0.44,
349,Rui Patrício,Rui Patricio,pt POR,GK,Wolves,33-039,1988,29,29,2609,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
361,Daniel Podence,Daniel Podence,pt POR,FWMF,Wolves,25-156,1995,18,17,1316,14.6,3,2,3,0,0,2,0,0.21,0.14,0.34,0.21,0.34,2.6,2.6,1.2,3.8,0.18,0.08,0.26,0.18,0.26,
395,John Ruddy,John Ruddy,eng ENG,GK,Wolves,34-153,1986,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
400,Romain Saïss,Romain Saiss,ma MAR,DF,Wolves,31-000,1990,20,20,1777,19.7,3,0,3,0,0,2,0,0.15,0,0.15,0.15,0.15,2.3,2.3,0.2,2.5,0.12,0.01,0.13,0.12,0.13,
